0;d*10;0;0;0;0;0;0;0;0;0
0.018545455;0.185454545;0.057695682;0.069115763;0.050173471;0;0;0;0.057695682;0.069115763;0.050173471
0.037090909;0.370909091;0.099482918;0.116281789;0.087827571;0;0;0;0.099482918;0.116281789;0.087827571
0.055636364;0.556363636;0.129632138;0.148307427;0.115994593;0;0;0;0.129632138;0.148307427;0.115994593
0.074181818;0.741818182;0.151267189;0.169889712;0.13697282;0;0;0;0.151267189;0.169889712;0.13697282
0.092727273;0.927272727;0.166674037;0.185154679;0.151830324;0;0;0;0.166674037;0.185154679;0.151830324
0.111272727;1.112727273;0.177524538;0.195903172;0.162287481;0;0;0;0.177524538;0.195903172;0.162287481
0.129818182;1.298181818;0.185041578;0.203060951;0.169672085;0;0;0;0.185041578;0.203060951;0.169672085
0.148363636;1.483636364;0.190119952;0.207665536;0.174776232;0;0;0;0.190119952;0.207665536;0.174776232
0.166909091;1.669090909;0.193412573;0.210454449;0.178188161;0;0;0;0.193412573;0.210454449;0.178188161
0.185454545;1.854545455;0.195401107;0.211953654;0.18034195;0;0;0;0.195401107;0.211953654;0.18034195
0.204;2.04;0.196429558;0.2125285;0.181560252;0;0;0;0.196429558;0.2125285;0.181560252
0.222545455;2.225454545;0.196734426;0.21241447;0.182069379;0;0;0;0.196734426;0.21241447;0.182069379
0.241090909;2.410909091;0.196465588;0.211769403;0.182007081;0;0;0;0.196465588;0.211769403;0.182007081
0.259636364;2.596363636;0.19580348;0.210779358;0.18153437;0;0;0;0.19580348;0.210779358;0.18153437
0.278181818;2.781818182;0.194847174;0.209526935;0.180767392;0;0;0;0.194847174;0.209526935;0.180767392
0.296727273;2.967272727;0.193696105;0.20808292;0.179780864;0;0;0;0.193696105;0.20808292;0.179780864
0.315272727;3.152727273;0.192358499;0.206516184;0.178621638;0;0;0;0.192358499;0.206516184;0.178621638
0.333818182;3.338181818;0.190917582;0.204849925;0.177337467;0;0;0;0.190917582;0.204849925;0.177337467
0.352363636;3.523636364;0.189376669;0.203126709;0.175962163;0;0;0;0.189376669;0.203126709;0.175962163
0.370909091;3.709090909;0.187781466;0.201344345;0.174519855;0;0;0;0.187781466;0.201344345;0.174519855
0.389454545;3.894545455;0.186134798;0.199537552;0.173025709;0;0;0;0.186134798;0.199537552;0.173025709
0.408;4.08;0.184509119;0.197783634;0.171549725;0;0;0;0.184509119;0.197783634;0.171549725
0.426545455;4.265454545;0.183168444;0.196286725;0.170305909;0;0;0;0.183168444;0.196286725;0.170305909
0.445090909;4.450909091;0.18217597;0.195290723;0.169368256;0;0;0;0.18217597;0.195290723;0.169368256
0.463636364;4.636363636;0.181396373;0.194467216;0.168622576;0;0;0;0.181396373;0.194467216;0.168622576
0.482181818;4.821818182;0.180760102;0.1938269;0.168022153;0;0;0;0.180760102;0.1938269;0.168022153
0.500727273;5.007272727;0.180250282;0.193316285;0.16752985;0;0;0;0.180250282;0.193316285;0.16752985
0.519272727;5.192727273;0.179822469;0.192887051;0.167117529;0;0;0;0.179822469;0.192887051;0.167117529
0.537818182;5.378181818;0.179451763;0.192528279;0.166760617;0;0;0;0.179451763;0.192528279;0.166760617
0.556363636;5.563636364;0.179130236;0.192204582;0.166452284;0;0;0;0.179130236;0.192204582;0.166452284
0.574909091;5.749090909;0.17883953;0.191918888;0.166168811;0;0;0;0.17883953;0.191918888;0.166168811
